Code,Company Name,Market Segment,Number of Shareholders,Number of Tradable Shares,Tradable Share Ratio,,Tradable Share Market Capitalization,,Trading Value,Trading Volume,Market Capitalization,,Amount of Net Assets,Remarks,
1382,"HOB Co.,Ltd.",Standard,,,,,2026-06-30,,,,,,,,
2164,"CHIIKISHINBUNSHA CO.,LTD.",Growth,,,,,,,,,2026-08-31,,,"See disclosure dated Mar. 17, 2026.",
2193,Cookpad Inc.,Standard,,,2026-12-31,,,,,,,,,,
2385,Soiken Holdings Inc.,Growth,,,,,,,,,2026-06-30,,,,
2388,"Wedge Holdings CO.,LTD.",Growth,,,,,,,,,2026-09-30,,,,
2404,"TETSUJIN Holdings,Inc.",Standard,,,2026-08-31,,,,,,,,,,
2410,"CAREER DESIGN CENTER CO.,LTD.",Prime,,,,,2026-09-30,,,,,,,,
2445,"Takamiya Co.,Ltd.",Prime,,,,,2026-03-31,,,,,,,,
2588,"Premium Water Holdings,Inc.",Standard,,,2026-03-31,*,,,,,,,,"Note 5（March 31,2027）",
2673,"YUMEMITSUKETAI Co.,Ltd.",Standard,,,,,2026-03-31,*,,,,,,"Note 5（March 31,2027）",
2763,"FTGroup CO.,LTD.",Standard,,,2026-03-31,,,,,,,,,,
2721,J-Holdings Corp.,Standard,,,,,,,,,,,2025-12-31,,
2814,"SATO FOODS INDUSTRIES CO.,LTD.",Standard,,,2026-03-31,,,,,,,,,,
3010,"Polaris Holdings Co.,Ltd.",Standard,,,2026-03-31,*,,,,,,,,"Note 5（March 31,2027）",
3103,UNITIKA LTD.,Prime,,,,,2026-03-31,,,,,,,,
3159,"Maruzen CHI Holdings Co.,Ltd.",Standard,,,2027-01-31,,,,,,,,,,
3174,"Happiness and D Co.,Ltd.",Standard,,,,,2026-08-31,,,,,,,,
3175,"AP HOLDINGS CO.,LTD.",Standard,,,,,,,,,,,2026-03-31,,
3185,"DREAM VISION CO.,LTD.",Growth,,,,,,,,,2026-03-31,,,,
3189,ANAP HOLDINGS INC.,Standard,,,2026-08-31,,,,,,,,,,
3192,"Shirohato Co.,Ltd.",Standard,,,,,2026-11-30,,,,,,,,
3326,"RUNSYSTEM CO.,LTD.",Standard,,,,,2026-03-31,*,,,,,,"Note 5（March 31,2027）",
3370,"FUJITA CORPORATION Co.,Ltd.",Standard,,,,,2026-03-31,*,,,,,,"Note 5（March 31,2027）",
3474,"G-FACTORY CO.,LTD.",Growth,,,2026-12-31,,,,,,,,,,
3484,"Innovation Holdings CO.,LTD.",Prime,,,,,2026-03-31,*,2026-12-31,,,,,"Note 5（March 31,2028）
See disclosure dated Mar. 17, 2026.",
3622,Netyear Group Corporation,Growth,,,,,,,,,2026-03-31,,,,
3624,AXEL MARK INC.,Growth,,,,,,,,,2026-09-30,,,,
3634,Sockets Inc.,Standard,,,,,2026-03-31,,,,,,,,
3645,"Medical Net,Inc.",Growth,,,,,,,,,2026-05-31,,,,
3646,"Ekitan & Co.,Ltd.",Growth,,,,,,,,,2026-03-31,,,,
3664,MOBCAST HOLDINGS INC.,Growth,,,,,,,,,2026-12-31,,,,
3665,Enigmo Inc.,Prime,,,,,2027-01-31,,,,,,,,
3670,"Kyoritsu Computer & Communication Co.,Ltd.",Standard,,,,,2026-03-31,,,,,,,,
3681,"V-cube,Inc.",Prime,,,,,2026-12-31,,,,,,2025-12-31,,
3695,"GMO Product Platform,Inc.",Growth,,,2026-12-31,,,,,,,,,,
3727,Aplix Corporation,Growth,,,,,,,,,2026-12-31,,,,
3787,"Techno Mathematical Co.,Ltd.",Standard,,,,,2026-03-31,,,,,,,,
3803,Image Information Inc.,Growth,,,,,,,,,2026-03-31,*,,"Note 5（March 31,2027）",
3908,Collabos Corporation,Growth,,,,,,,,,2026-03-31,,,,
3926,Open Door Inc.,Prime,,,,,2026-03-31,,,,,,,,
3976,SHANON Inc.,Growth,,,,,,,,,,,2025-12-31,,
4053,Sun* Inc.,Prime,,,,,2026-12-31,,,,,,,,
4059,"Magmag,Inc.",Standard,,,,,2026-09-30,,,,,,,,
4288,"Asgent,Inc.",Standard,,,,,2026-03-31,,,,,,,,
4316,"BeMap,Inc.",Growth,,,,,,,,,2026-03-31,,,,
4392,"Future Innovation Group,Inc.",Prime,,,,,2026-12-31,,,,,,,,
4446,Link-U Group Inc.,Prime,,,,,2026-07-31,,,,,,,,
4574,"TAIKO PHARMACEUTICAL CO.,LTD.",Prime,,,,,2026-12-31,,,,,,,,
4679,"TAYA Co.,Ltd.",Standard,,,,,2026-03-31,,,,,,,,
4720,"JOHNAN ACADEMIC PREPARATORY INSTITUTE,INC.",Standard,,,,,2026-03-31,,,,,,,,
4760,"ALPHA CO.,LTD.",Standard,,,,,2026-08-31,,,,,,,,
4784,"GMO internet,Inc.",Prime,,,2026-12-31,,,,,,,,,,
4833,"Def consulting,inc.",Growth,,,,,,,,,2026-03-31,,,,
4845,"Scala,Inc.",Prime,,,,,2026-06-30,,,,,,,,
4880,"CellSource Co.,Ltd.",Prime,,,,,2026-10-31,,,,,,,"See disclosure dated Mar. 17, 2026.",
5255,Monstarlab Inc.,Growth,,,,,,,,,,,2027-12-31,,
