Category,Designation Date,Issue Name,Code,Market Segment,Remarks,Reason
Securities Under Supervision (Confirmation),"Mar. 21, 2026","Uematsu Shokai Co.,Ltd.",9914,Standard,,Because the stock(s) on the list are not likely to meet the continued listing criteria within the improvement period
Securities Under Supervision (Confirmation),"Mar. 09, 2026","SUMIKEN MITSUI ROAD CO., LTD.",1776,Standard,,"Due to falling under a case where a special controlling shareholder has made an announcement, etc. equivalent to disclosing information regarding a decision that it makes to demand the sale of shares, etc. or a case where the board of directors has made a resolution on a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share"
Securities Under Supervision (Confirmation),"Mar. 01, 2026",TOKYO KOKI CO.LTD.,7719,Standard,,Because the stock(s) on the list are not likely to meet the continued listing criteria within the improvement period
Securities Under Supervision (Confirmation),"Mar. 01, 2026",Aqualine Ltd.,6173,Growth,,Because the stock(s) on the list are not likely to meet the continued listing criteria within the improvement period
Securities Under Supervision (Confirmation),"Feb. 25, 2026","YOMEISHU SEIZO CO.,LTD.",2540,Prime,,Due to falling under a case where the board of directors has made a resolution on a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share
Securities Under Supervision (Confirmation),"Feb. 25, 2026","ITOCHU-SHOKUHIN Co.,Ltd.",2692,Prime,,"Due to falling under a case where a special controlling shareholder has made an announcement, etc. equivalent to disclosing information regarding a decision that it makes to demand the sale of shares, etc. or a case where the board of directors has made a resolution on a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share"
Securities Under Supervision (Confirmation),"Feb. 19, 2026","AJIS CO.,LTD.",4659,Standard,,Due to falling under a case where the board of directors has made a resolution on a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share
Securities Under Supervision (Confirmation),"Feb. 17, 2026",SOFT99corporation,4464,Standard,,"Due to falling under a case where a special controlling shareholder has made an announcement, etc. equivalent to disclosing information regarding a decision that it makes to demand the sale of shares, etc. or a case where the board of directors has made a resolution on a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share"
Securities Under Supervision (Confirmation),"Feb. 13, 2026",INFORICH INC.,9338,Growth,,"Due to falling under a case where a special controlling shareholder has made an announcement, etc. equivalent to disclosing information regarding a decision that it makes to demand the sale of shares, etc. or a case where the board of directors has made a resolution on a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share"
Securities Under Supervision (Confirmation),"Feb. 13, 2026","WATT MANN CO.,LTD.",9927,Standard,,Due to falling under a case where the board of directors has made a resolution on a reverse stock split with a split ratio at which the number of all the shares owned by shareholders other than a specified party will be less than one share
