Announcement Date,Issue Name,Code,Market Segment,Remarks,Reason
"Nov. 26, 2025","S Science Company, Ltd.",5721,Standard,,"Due to falling under a case where TSE deems that the listed company has violated the matters to be observed pertaining to issuance of MSCB, etc. and that public announcement is deemed necessary"
"Oct. 10, 2025","KASAI KOGYO CO.,LTD.",7256,Standard,,Due to disclosed information containing false statements and improvements being deemed highly necessary
"Sep. 19, 2025",FISCO Ltd.,3807,Growth,,Due to disclosed information containing false statements and improvements being deemed highly necessary
"Apr. 15, 2025","TOSHIN HOLDINGS CO.,LTD",9444,Standard,,Due to disclosed information containing false statements and improvements being deemed highly necessary
"Jan. 31, 2025",Sanyo Engineering & Construction Inc.,1960,Standard,,Due to disclosed information containing false statements and improvements being deemed highly necessary
"Nov. 22, 2024","FINE SINTER CO.,LTD.",5994,Standard,,Due to disclosed information containing false statements and improvements being deemed highly necessary
"Nov. 21, 2024","SHINWA WISE HOLDINGS CO.,LTD.",2437,Standard,,Due to disclosed information containing false statements and improvements being deemed highly necessary
"Aug. 23, 2024",ENECHANGE Ltd.,4169,Growth,,Due to disclosed information containing false statements and improvements being deemed highly necessary
"Jul. 26, 2024","NIC Autotec,Inc.",5742,Standard,,Due to falling under a case where TSE deems that the listed company has violated the matters to be observed in the Code of Corporate Conduct (securing an outside director) and that public announcement about the violation of the listing rules is necessary
"Jul. 02, 2024","LUCKLAND CO.,LTD.",9612,Prime,,Due to disclosed information containing false statements and improvements being deemed highly necessary
"May 17, 2024","TOKYO SANGYO CO.,LTD.",8070,Prime,,"Due to disclosed information containing false statements, the company breaching the listing rules, and improvements being deemed highly necessary"
"Mar. 05, 2024","ImageONE Co.,Ltd.",2667,Standard,,"Due to disclosed information containing false statements, the company breaching the listing rules, and improvements being deemed highly necessary"
"Dec. 20, 2023",OUTSOURCING Inc.,2427,Prime,,"Due to disclosed information containing false statements in violation of the listing rules, and public announcement being deemed necessary"
"Dec. 20, 2023","THE WHY HOW DO COMPANY,Inc.",3823,Standard,,Due to it being deemed necessary to be publicly announced that disclosure of circumstances whereby the contents disclosed on a timely basis should be changed was delayed in violation of the listing rules.
"Oct. 12, 2023","ITbook Holdings Co.,LTD.",1447,Growth,,Due to disclosed information containing false statements and improvements being
"Sep. 22, 2023",YAMAURA CORPORATION,1780,Prime,,due to disclosed information containing false statements and improvements being deemed highly necessary
"Sep. 15, 2023","MARUMITSU CO.,LTD.",8256,Standard,,due to disclosed information containing false statements and improvements being deemed highly necessary
