Announcement Date,Issue Name,Code,Market Segment,Remarks,Reason
"Jan. 30, 2026",Abalance Corporation,3856,Standard,,"Due to a disclaimer of conclusion being stated in the interim review report attached to the listed company's interim consolidated financial statements, and TSE deeming that improvement of the internal management system is highly necessary"
"Nov. 21, 2025","TOSHIN HOLDINGS CO.,LTD",9444,Standard,,"Due to falling under a case where opinions are not expressed in audit reports, interim audit reports, or interim review reports attached to the listed company's financial statements or interim financial statements and TSE deems that the improvement of the internal management system of said listed company is highly necessary"
"Nov. 21, 2025",TABIKOBO Co.Ltd.,6548,Growth,,Due to falling under a case where TSE deems that the listed company has violated the provisions of timely disclosure and that the improvement of the internal management system of such listed company is highly necessary
"Aug. 26, 2025","ACCESS CO.,LTD.",4813,Prime,,Due to falling under a case where TSE deems that the listed company has violated the provisions of timely disclosure and that the improvement of the internal management system of such listed company is highly necessary
"Jun. 19, 2025","DAIWA TSUSHIN Co.,Ltd",7116,Standard,,"Due to falling under a case where TSE deems a company has violated the matters under the written oath for application for initial listing, and had not met the initial listing criteria"
"May 23, 2025","Advance Create Co.,Ltd.",8798,Prime,,Due to disclosed information containing false statements and improvements being deemed highly necessary
"Apr. 30, 2025","SUNWELS Co.,Ltd.",9229,Prime,,"Due to falling under a case where TSE deems a company has violated the matters under the written oath for application for transfer of market segment, and had not met the criteria for segment transfer"
"Mar. 26, 2025","Life Intelligent Enterprise Holdings Co.,Ltd.",5856,Standard,,Due to falling under a case where TSE deems that the listed company has violated the provisions of the matters to be observed in the Code of Corporate Conduct (Development of System and Structure Necessary to Ensure Appropriateness of Business) and that the improvement of the internal management system of such listed company is highly necessary
"Jan. 28, 2025",PIXEL COMPANYZ INC.,2743,Standard,,Due to falling under a case where TSE deems that the listed company has violated the provisions of timely disclosure and that the improvement of the internal management system of such listed company is highly necessary
"Jan. 28, 2025",Aqualine Ltd.,6173,Growth,,Due to falling under a case where TSE deems that the listed company has violated the provisions of timely disclosure and that the improvement of the internal management system of such listed company is highly necessary
"Dec. 13, 2024",GALA INCORPORATED,4777,Standard,,Due to disclosed information containing false statements and improvements being deemed highly necessary
"Oct. 25, 2024",Wellco Holdings Corporation,7831,Standard,,Due to falling under a case where TSE deems that the listed company has violated the provisions of timely disclosure and that the improvement of the internal management system of such listed company is highly necessary
"Mar. 29, 2024","GOODSPEED.CO.,LTD.",7676,Growth,,"Due to disclosed information containing false statements, the company breaching the listing rules, and improvements being deemed highly necessary"
"Nov. 29, 2023","ARDEPRO Co.,Ltd.",8925,Standard,,Due to falling under a case where TSE deems that the listed company has violated the provisions of timely disclosure and that the improvement of the internal management system of such listed company is highly necessary due to falling under a case where TSE deems that the listed company has violated the provisions of timely disclosure and has undermined the confidence of shareholders and investors in the TSE market
"Aug. 29, 2023","SANEI ARCHITECTURE PLANNING CO.,LTD.",3228,Prime,,due to falling under a case where TSE deems that the listed company has violated the matters in the written oath and has undermined the confidence of shareholders and investors in the TSE market
"Jul. 03, 2023",amana inc.,2402,Growth,,due to falling under a case where TSE deems that the listed company has violated the provisions of timely disclosure and that the improvement of the internal management system of such listed company is highly necessary
"Mar. 29, 2023",TOKYO KOKI CO.LTD.,7719,Standard,,due to falling under a case where TSE deems that the listed company has violated the provisions of timely disclosure and that the improvement of the internal management system of such listed company is highly necessary
"Jan. 27, 2023","RUDEN HOLDINGS CO.,Ltd.",1400,Growth,,due to falling under a case where TSE deems that the listed company has violated the provisions of timely disclosure and has undermined the confidence of shareholders and investors in the TSE market
