Issue Name,Code,Market Segment,Inspection Period,Submission Dates,Remarks,Reason
"KASAI KOGYO CO.,LTD.",7256,Standard,"Nov. 12, 2025 - Nov. 11, 2030","Improvement Report (Nov. 11, 2025)",,Due to disclosed information containing false statements and improvements being deemed highly necessary
FISCO Ltd.,3807,Growth,"Oct. 18, 2025 - Oct. 17, 2030","Improvement Report (Oct. 17, 2025)",,Due to disclosed information containing false statements and improvements being deemed highly necessary
"Advance Create Co.,Ltd.",8798,Prime,"Jun. 21, 2025 - Jun. 20, 2030","Improvement Report (Jun. 20, 2025); Improvement Status Report (Jan. 07, 2026)",,Due to disclosed information containing false statements and improvements being deemed highly necessary
"TOSHIN HOLDINGS CO.,LTD",9444,Standard,"May 17, 2025 - May 16, 2030","Improvement Report (May 16, 2025)","Designated as Security on Special Alert on Nov. 22, 2025; TSE has not required Improvement Status Report",Due to disclosed information containing false statements and improvements being deemed highly necessary
Sanyo Engineering & Construction Inc.,1960,Standard,"Mar. 04, 2025 - Mar. 03, 2030","Improvement Report (Mar. 03, 2025); Improvement Status Report (Sep. 04, 2025)",,Due to disclosed information containing false statements and improvements being deemed highly necessary
GALA INCORPORATED,4777,Standard,"Jan. 21, 2025 - Jan. 20, 2030","Improvement Report (Jan. 20, 2025); Improvement Status Report (Jul. 23, 2025)",,Due to disclosed information containing false statements and improvements being deemed highly necessary
"FINE SINTER CO.,LTD.",5994,Standard,"Dec. 21, 2024 - Dec. 20, 2029","Improvement Report (Dec. 20, 2024); Improvement Status Report (Jun. 27, 2025)",,Due to disclosed information containing false statements and improvements being deemed highly necessary
"SHINWA WISE HOLDINGS CO.,LTD.",2437,Standard,"Dec. 20, 2024 - Dec. 19, 2029","Improvement Report (Dec. 19, 2024); Improvement Status Report (Jul. 03, 2025)",,Due to disclosed information containing false statements and improvements being deemed highly necessary
ENECHANGE Ltd.,4169,Growth,"Sep. 25, 2024 - Sep. 24, 2029","Improvement Report (Sep. 24, 2024); Improvement Status Report (Mar. 25, 2025)",,Due to disclosed information containing false statements and improvements being deemed highly necessary
"LUCKLAND CO.,LTD.",9612,Prime,"Aug. 01, 2024 - Jul. 31, 2029","Improvement Report (Jul. 31, 2024); Improvement Status Report (Feb. 13, 2025)",,Due to disclosed information containing false statements and improvements being deemed highly necessary
"TOKYO SANGYO CO.,LTD.",8070,Prime,"Jun. 14, 2024 - Jun. 13, 2029","Improvement Report (Jun. 13, 2024); Improvement Status Report (Dec. 16, 2024)",,"Due to disclosed information containing false statements, the company breaching the listing rules, and improvements being deemed highly necessary"
"GOODSPEED.CO.,LTD.",7676,Growth,"Apr. 27, 2024 - Apr. 26, 2029","Improvement Report (Apr. 26, 2024)","Designated as Securities to Be Delisted as of Aug. 6, 2024 (Delisting Date: Aug. 23, 2024)","Due to disclosed information containing false statements, the company breaching the listing rules, and improvements being deemed highly necessary"
"ImageONE Co.,Ltd.",2667,Standard,"Mar. 20, 2024 - Mar. 19, 2029","Improvement Report (Mar. 19, 2024); Improvement Status Report (Oct. 02, 2024)",,"Due to disclosed information containing false statements, the company breaching the listing rules, and improvements being deemed highly necessary"
"ITbook Holdings Co.,LTD.",1447,Growth,"Oct. 27, 2023 - Oct. 26, 2028","Improvement Report (Oct. 26, 2023); Improvement Status Report (May 08, 2024)",,Due to disclosed information containing false statements and improvements being
YAMAURA CORPORATION,1780,Prime,"Oct. 07, 2023 - Oct. 06, 2028","Improvement Report (Oct. 06, 2023); Improvement Status Report (Apr. 12, 2024)",,due to disclosed information containing false statements and improvements being deemed highly necessary
"MARUMITSU CO.,LTD.",8256,Standard,"Oct. 03, 2023 - Oct. 02, 2028","Improvement Report (Oct. 02, 2023)","Designated as Securities to Be Delisted as of Dec. 5, 2023 (Delisting Date: Jan. 6, 2024)",due to disclosed information containing false statements and improvements being deemed highly necessary
"SAKAI Holdings CO.,LTD",9446,Standard,"May 27, 2022 - May 26, 2027","Improvement Report (May 26, 2022); Improvement Status Report (Dec. 02, 2022)",,Due to disclosed information containing false statements and improvements being deemed highly necessary
OUTSOURCING Inc.,2427,1st Section -> Prime,"Mar. 09, 2022 - Mar. 08, 2027","Improvement Report (Mar. 08, 2022); Improvement Status Report (Sep. 22, 2022); Improvement Status Report (Jan. 15, 2024)","Reclassified to Prime Market as of April 4, 2022; Improvement Status Report requested on Dec. 20, 2023","Due to disclosed information containing false statements in violation of the listing rules, and public announcement being deemed necessary"
