day,count,ret_ipo_mean,ret_ipo_median,ret_close_mean,ret_close_median,기관,외국인총합계,개인,금융투자,보험,투신,사모펀드,은행,연기금,기타금융기관,국가_지자체,기타법인
0,403,62.48,40.21,0.0,0.0,-221.54,-38.13,334.04,-30.8,-0.84,-30.03,-116.84,-2.78,-1.51,-38.74,0.0,-74.37
1,403,60.95,37.18,-0.88,-2.99,-232.46,-40.92,355.23,-32.36,-0.74,-31.02,-123.04,-2.85,-1.02,-41.42,0.0,-81.85
2,402,59.27,35.0,-1.7,-5.24,-238.64,-43.29,369.81,-34.14,-0.85,-31.12,-125.35,-3.56,-0.78,-42.85,0.0,-87.88
3,401,57.9,33.2,-2.47,-6.63,-240.02,-44.07,376.14,-34.39,-0.72,-30.2,-126.21,-4.37,-0.32,-43.82,0.0,-92.06
4,400,57.6,33.87,-2.51,-8.03,-242.47,-41.58,379.29,-34.79,-0.61,-30.24,-127.24,-4.85,0.01,-44.75,0.0,-95.24
5,400,56.16,36.34,-2.93,-9.58,-243.55,-41.93,382.79,-35.06,-0.53,-29.87,-127.57,-5.45,0.16,-45.24,0.0,-97.31
6,400,55.0,35.22,-3.63,-10.29,-244.23,-42.41,384.5,-35.15,-0.43,-29.75,-128.08,-5.66,0.48,-45.64,0.0,-97.86
7,400,53.84,31.73,-4.29,-9.83,-244.48,-43.11,386.0,-35.38,-0.37,-29.28,-128.24,-5.91,0.52,-45.82,0.0,-98.41
8,400,53.8,31.16,-4.37,-10.62,-245.49,-43.1,387.9,-35.49,-0.36,-28.84,-128.7,-6.34,0.69,-46.44,0.0,-99.31
9,400,52.2,29.78,-4.95,-11.52,-246.87,-43.2,390.81,-35.66,-0.34,-29.02,-129.56,-6.44,0.95,-46.8,0.0,-100.73
10,400,50.45,26.97,-5.79,-12.86,-248.89,-43.96,394.66,-35.79,-0.29,-28.89,-131.33,-6.5,1.23,-47.32,0.0,-101.8
11,400,47.23,25.37,-7.2,-13.34,-253.71,-45.65,401.91,-36.25,-0.21,-29.24,-134.88,-6.52,1.36,-47.95,0.0,-102.55
12,400,46.29,25.98,-7.69,-14.27,-254.55,-46.52,404.34,-36.05,-0.2,-29.09,-135.59,-6.56,1.51,-48.58,0.0,-103.27
13,400,45.77,23.94,-8.07,-14.42,-255.38,-46.35,405.46,-36.17,-0.12,-28.85,-136.28,-6.64,1.6,-48.9,0.0,-103.73
14,400,45.72,21.69,-8.12,-15.21,-255.14,-45.93,404.84,-36.31,-0.15,-28.21,-136.46,-6.65,1.76,-49.12,0.0,-103.77
15,400,45.02,21.86,-8.55,-14.88,-255.28,-46.17,405.61,-36.34,-0.09,-28.12,-136.53,-6.69,1.96,-49.47,0.0,-104.16
16,400,44.26,21.63,-9.16,-15.49,-256.1,-46.94,407.55,-36.57,-0.04,-28.13,-136.92,-6.7,1.99,-49.72,0.0,-104.52
17,400,44.32,21.55,-9.23,-15.27,-256.1,-46.95,407.47,-36.77,0.06,-27.77,-136.89,-6.77,2.05,-50.0,0.0,-104.42
18,400,44.91,18.05,-8.71,-15.95,-259.89,-46.14,412.36,-37.06,0.05,-27.75,-139.17,-6.9,2.03,-51.09,0.0,-106.33
19,399,44.21,18.33,-9.06,-16.49,-262.73,-44.48,416.95,-37.33,0.14,-27.09,-140.74,-7.16,2.45,-53.01,0.0,-109.73
20,399,43.77,18.81,-8.96,-17.38,-267.47,-43.98,425.82,-38.56,0.23,-26.61,-142.59,-7.43,2.89,-55.41,0.0,-114.37
21,399,42.96,18.56,-9.28,-17.72,-274.01,-42.96,438.33,-39.14,0.27,-26.95,-144.78,-8.11,3.17,-58.48,0.0,-121.36
22,399,40.87,18.54,-10.23,-18.6,-282.67,-41.25,456.0,-40.58,0.43,-27.01,-147.54,-8.69,3.85,-63.13,0.0,-132.08
23,399,40.83,18.51,-10.22,-18.26,-288.62,-39.94,466.02,-41.2,0.54,-26.7,-149.87,-9.46,4.28,-66.21,0.0,-137.47
24,399,40.61,18.89,-10.13,-18.72,-292.44,-41.06,474.5,-41.8,0.64,-26.45,-151.66,-10.14,4.34,-67.36,0.0,-141.01
25,399,40.47,17.0,-10.19,-18.18,-295.15,-40.79,479.05,-42.11,0.67,-26.65,-152.15,-10.9,4.8,-68.81,0.0,-143.1
26,399,40.26,15.79,-10.04,-18.03,-297.96,-41.84,484.36,-42.22,0.8,-26.78,-153.31,-11.58,4.96,-69.82,0.0,-144.56
27,399,39.94,14.84,-10.05,-17.99,-300.08,-40.87,486.68,-42.62,0.89,-26.64,-153.87,-12.09,5.22,-70.97,0.0,-145.74
28,399,39.94,16.58,-9.85,-18.29,-301.65,-40.82,489.72,-43.06,1.03,-26.31,-154.71,-12.53,5.33,-71.41,0.0,-147.24
29,399,39.0,18.42,-10.18,-17.69,-303.94,-41.48,494.52,-43.44,1.04,-26.36,-155.75,-12.8,5.49,-72.12,0.0,-149.1
30,398,39.42,18.47,-9.82,-17.69,-303.84,-40.29,493.88,-43.56,1.14,-25.96,-156.17,-13.34,5.67,-71.61,0.0,-149.75
31,398,39.11,15.06,-9.84,-17.45,-305.7,-40.19,497.31,-43.75,1.21,-25.96,-157.03,-13.52,5.76,-72.41,0.0,-151.42
32,398,38.58,17.4,-10.3,-19.01,-308.27,-39.93,501.48,-43.96,1.22,-26.27,-157.64,-13.82,5.66,-73.46,0.0,-153.28
33,398,38.09,19.13,-10.39,-18.71,-310.45,-40.21,505.64,-44.35,1.28,-26.55,-158.45,-14.21,5.71,-73.89,0.0,-154.98
34,397,37.77,17.77,-10.7,-18.24,-311.21,-40.55,507.09,-44.54,1.25,-26.29,-159.29,-14.5,5.78,-73.62,0.0,-155.34
35,397,37.67,14.76,-10.72,-18.87,-313.05,-39.4,508.35,-44.94,1.24,-26.61,-160.22,-14.58,5.96,-73.89,0.0,-155.9
36,397,38.28,15.59,-9.99,-18.67,-314.11,-38.88,510.01,-45.27,1.22,-26.42,-160.73,-14.74,6.18,-74.34,0.0,-157.02
37,396,38.07,15.19,-9.99,-19.96,-314.33,-38.61,510.88,-45.21,1.27,-26.17,-161.14,-14.86,6.38,-74.58,0.0,-157.94
38,396,37.85,16.12,-10.12,-19.09,-314.85,-39.1,513.6,-45.2,1.29,-26.04,-161.19,-15.02,6.5,-75.18,0.0,-159.65
39,396,38.24,18.99,-9.82,-19.22,-315.59,-38.87,515.18,-45.37,1.28,-25.93,-161.43,-15.11,6.52,-75.55,0.0,-160.73
40,396,38.37,16.12,-9.81,-18.91,-316.06,-37.85,515.77,-45.72,1.28,-25.79,-161.46,-15.16,6.75,-75.97,0.0,-161.86
41,396,38.47,16.24,-9.98,-19.57,-316.7,-34.69,515.58,-45.75,1.27,-25.48,-162.09,-15.22,6.99,-76.41,0.0,-164.19
42,396,38.29,15.61,-10.09,-19.24,-317.76,-35.92,518.79,-46.0,1.34,-25.64,-162.41,-15.34,7.14,-76.85,0.0,-165.1
43,395,38.59,15.0,-9.89,-17.85,-318.98,-35.85,520.2,-46.18,1.34,-25.34,-163.08,-15.48,7.37,-77.6,0.0,-165.38
44,395,38.57,14.33,-9.76,-18.46,-320.02,-34.57,520.77,-46.29,1.3,-25.51,-163.45,-15.57,7.53,-78.03,0.0,-166.18
45,395,38.66,13.83,-9.74,-18.05,-319.56,-34.4,520.88,-46.29,1.32,-24.94,-163.26,-15.66,7.8,-78.53,0.0,-166.92
46,395,39.3,12.76,-9.34,-18.57,-319.33,-33.8,520.91,-46.49,1.35,-24.4,-163.12,-15.71,8.01,-78.98,0.0,-167.78
47,395,39.12,14.31,-9.12,-19.06,-319.59,-35.08,523.23,-46.5,1.48,-24.06,-163.43,-15.8,8.16,-79.44,0.0,-168.56
48,395,38.46,12.41,-9.68,-19.63,-321.07,-34.32,524.43,-46.75,1.49,-23.87,-163.58,-16.03,8.4,-80.72,0.0,-169.04
49,395,38.49,12.67,-9.65,-20.11,-321.04,-34.71,525.15,-46.77,1.52,-23.56,-163.76,-16.18,8.56,-80.83,0.0,-169.4
50,395,37.94,12.67,-9.88,-20.47,-320.64,-35.02,525.93,-46.75,1.52,-22.93,-163.78,-16.24,8.66,-81.1,0.0,-170.27
51,395,36.89,10.89,-10.5,-20.26,-321.17,-34.93,527.28,-46.51,1.58,-22.89,-164.14,-16.35,8.68,-81.54,0.0,-171.18
52,395,36.33,12.76,-10.79,-20.22,-321.18,-34.23,527.66,-46.57,1.59,-22.48,-164.18,-16.42,8.85,-81.97,0.0,-172.25
53,395,36.29,9.75,-10.63,-19.7,-321.69,-34.22,529.34,-46.63,1.55,-22.23,-163.98,-16.62,8.9,-82.68,0.0,-173.42
54,395,35.85,11.13,-10.84,-20.03,-321.8,-34.52,530.5,-46.68,1.62,-21.78,-164.17,-16.66,9.15,-83.28,0.0,-174.17
55,395,36.59,10.0,-10.23,-20.82,-322.75,-34.35,531.72,-46.85,1.64,-21.73,-164.51,-16.69,9.06,-83.66,0.0,-174.63
56,395,36.52,10.7,-10.16,-21.28,-323.04,-33.43,531.77,-46.91,1.7,-21.43,-164.69,-16.69,9.07,-84.09,0.0,-175.3
57,395,37.28,11.45,-9.45,-20.39,-325.02,-30.58,533.6,-47.29,1.68,-20.58,-166.11,-16.74,9.12,-85.1,0.0,-177.99
58,395,37.0,10.59,-9.74,-20.38,-326.48,-30.64,536.02,-47.72,1.76,-20.62,-166.73,-16.74,9.28,-85.69,0.0,-178.9
59,395,36.84,9.64,-9.94,-20.35,-328.24,-30.98,539.36,-47.94,1.87,-20.69,-168.13,-16.75,9.56,-86.17,0.0,-180.14
60,395,36.27,8.78,-9.93,-20.65,-332.53,-30.09,544.59,-48.45,2.04,-20.39,-170.97,-16.82,9.75,-87.69,0.0,-181.97
61,395,35.71,8.57,-10.17,-21.26,-339.11,-30.79,554.51,-49.6,2.07,-19.79,-176.21,-16.9,9.98,-88.65,0.0,-184.61
62,394,35.22,9.31,-10.52,-21.67,-344.15,-29.09,558.86,-50.4,2.07,-20.13,-179.57,-17.14,10.26,-89.25,0.0,-185.62
63,394,34.86,9.54,-10.76,-22.11,-347.2,-29.27,564.44,-51.23,2.06,-18.03,-182.8,-17.22,10.57,-90.55,0.0,-187.97
64,393,34.12,7.0,-11.27,-21.94,-350.78,-29.68,569.68,-52.18,2.01,-17.76,-185.58,-17.35,10.67,-90.58,0.0,-189.22
65,393,33.89,6.76,-10.76,-22.57,-354.8,-30.0,575.54,-53.28,1.95,-17.89,-187.81,-17.36,10.68,-91.08,0.0,-190.75
66,393,34.47,6.67,-9.55,-22.18,-358.14,-28.18,577.68,-53.97,1.8,-18.19,-189.06,-17.4,10.61,-91.93,0.0,-191.36
67,392,36.08,7.36,-7.74,-22.55,-360.4,-28.45,580.53,-54.75,1.78,-18.57,-190.03,-17.45,10.79,-92.16,0.0,-191.68
68,391,37.75,9.27,-5.57,-22.97,-362.77,-28.7,584.52,-55.0,1.78,-18.53,-191.41,-17.58,10.78,-92.82,0.0,-193.04
69,391,37.91,11.12,-5.41,-22.23,-364.57,-28.93,587.66,-55.33,1.74,-18.4,-192.31,-17.7,10.57,-93.14,0.0,-194.16
70,391,38.06,9.21,-4.83,-22.41,-365.99,-27.5,588.67,-55.6,1.78,-18.69,-193.05,-17.73,10.71,-93.41,0.0,-195.18
71,390,38.41,9.49,-4.69,-22.6,-367.55,-28.73,591.91,-56.06,1.81,-18.64,-194.1,-17.76,10.94,-93.75,0.0,-195.63
72,390,37.85,9.61,-5.33,-23.54,-368.3,-28.81,593.09,-56.11,1.84,-18.47,-194.58,-17.79,10.98,-94.16,0.0,-195.98
73,390,38.83,8.84,-4.98,-21.77,-368.53,-28.36,595.4,-56.42,1.91,-18.41,-194.49,-17.9,11.34,-94.55,0.0,-198.51
74,390,38.54,8.76,-5.56,-22.03,-369.74,-29.78,598.49,-56.66,1.98,-18.67,-194.88,-17.94,11.29,-94.86,0.0,-198.97
75,389,39.44,9.83,-4.86,-22.37,-369.97,-29.84,599.42,-57.1,1.93,-18.37,-195.4,-18.03,11.19,-94.19,0.0,-199.61
76,389,39.56,9.86,-4.75,-22.39,-371.88,-30.14,602.26,-57.46,1.93,-18.38,-196.55,-18.04,11.16,-94.53,0.0,-200.23
77,389,39.68,9.79,-4.96,-21.44,-372.61,-30.61,603.93,-57.63,1.89,-18.41,-196.93,-18.1,11.36,-94.79,0.0,-200.7
78,389,39.02,9.26,-5.8,-20.97,-372.83,-30.84,604.76,-57.86,1.92,-18.08,-197.2,-18.12,11.48,-94.97,0.0,-201.1
79,389,38.29,8.36,-5.8,-21.59,-374.59,-32.7,609.58,-58.22,1.85,-18.45,-197.73,-18.15,11.35,-95.24,0.0,-202.29
80,388,38.18,6.68,-6.04,-22.58,-376.78,-32.29,612.03,-58.66,1.79,-18.77,-198.78,-18.21,11.52,-95.67,0.0,-202.96
81,387,38.69,8.22,-5.93,-22.75,-379.01,-31.8,614.38,-59.23,1.73,-19.2,-199.59,-18.28,11.62,-96.05,0.0,-203.57
82,387,39.39,9.09,-5.88,-21.56,-379.23,-32.03,614.91,-59.35,1.75,-19.14,-199.62,-18.29,11.73,-96.31,0.0,-203.65
