코드,날짜,종가,기관,외국인총합계,개인,금융투자,보험,투신,사모펀드,은행,연기금,기타금융기관,국가_지자체,기타법인
A294630,2020-02-20,4750,-189.63,-12.15,267.06,-29.45,-0.1,-10.52,-101.1,-0.08,-0.16,-48.22,0.0,-65.27
A294630,2020-02-21,4085,-9.15,2.19,11.2,-0.01,0.0,-1.09,-1.13,0.0,0.0,-6.92,0.0,-4.24
A294630,2020-02-24,3500,-0.2,-1.2,1.85,-0.06,-0.01,0.0,-0.13,0.0,0.0,0.0,0.0,-0.45
A294630,2020-02-25,3840,-3.83,0.33,27.49,0.08,0.0,-0.0,0.0,0.0,0.0,-3.91,0.0,-23.99
A294630,2020-02-26,3835,-1.53,0.19,1.09,-0.09,0.0,0.0,0.47,0.0,0.0,-1.91,0.0,0.25
A294630,2020-02-27,3730,-2.32,0.34,5.41,-0.0,0.0,0.0,-0.5,0.0,0.0,-1.82,0.0,-3.43
A294630,2020-02-28,3870,-2.87,-0.41,3.33,0.0,0.0,-0.06,0.0,0.0,0.0,-2.81,0.0,-0.05
A294630,2020-03-02,3770,-3.78,-0.78,4.26,0.0,0.0,-0.0,0.45,0.0,0.0,-4.23,0.0,0.31
A294630,2020-03-03,3610,-1.51,1.22,0.51,0.0,0.0,0.0,-0.01,0.0,0.0,-1.49,0.0,-0.22
A294630,2020-03-04,3435,0.0,-0.56,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
A294630,2020-03-05,3390,0.0,-0.15,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08
A294630,2020-03-06,3150,-0.23,0.4,-0.17,0.0,0.0,0.0,-0.12,0.0,0.0,-0.11,0.0,0.0
A294630,2020-03-09,2970,0.0,-0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
A294630,2020-03-10,3030,-0.38,-0.18,0.57,0.0,0.0,0.0,-0.38,0.0,0.0,0.0,0.0,0.0
A294630,2020-03-11,2760,0.0,0.27,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A294630,2020-03-12,2565,1.26,0.38,-1.66,1.7,0.0,-0.45,0.0,0.0,0.0,0.0,0.0,0.02
A294630,2020-03-13,2220,-0.25,-0.17,0.42,-0.03,0.0,0.0,-0.22,0.0,0.0,0.0,0.0,-0.0
A294630,2020-03-16,2045,0.0,0.28,-0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02
A294630,2020-03-17,2025,-0.06,-0.05,0.11,0.0,0.0,0.0,-0.06,0.0,0.0,0.0,0.0,0.0
A294630,2020-03-18,1855,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A294630,2020-03-19,1560,-0.04,-0.08,0.13,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,0.0,-0.0
