코드,종목명,상장일,수정공모가,상장일종가,6M종가,12M종가,18M종가,24M종가,상장일수익률_수정공모가(%),6M수익률_수정공모가(%),12M수익률_수정공모가(%),18M수익률_수정공모가(%),24M수익률_수정공모가(%),6M수익률_종가(%),12M수익률_종가(%),18M수익률_종가(%),24M수익률_종가(%),기관_6M순매수,기관_12M순매수,기관_18M순매수,기관_24M순매수,외국인총합계_6M순매수,외국인총합계_12M순매수,외국인총합계_18M순매수,외국인총합계_24M순매수,개인_6M순매수,개인_12M순매수,개인_18M순매수,개인_24M순매수,금융투자_6M순매수,금융투자_12M순매수,금융투자_18M순매수,금융투자_24M순매수,보험_6M순매수,보험_12M순매수,보험_18M순매수,보험_24M순매수,투신_6M순매수,투신_12M순매수,투신_18M순매수,투신_24M순매수,사모펀드_6M순매수,사모펀드_12M순매수,사모펀드_18M순매수,사모펀드_24M순매수,은행_6M순매수,은행_12M순매수,은행_18M순매수,은행_24M순매수,연기금_6M순매수,연기금_12M순매수,연기금_18M순매수,연기금_24M순매수,기타금융기관_6M순매수,기타금융기관_12M순매수,기타금융기관_18M순매수,기타금융기관_24M순매수,"국가,지자체_6M순매수","국가,지자체_12M순매수","국가,지자체_18M순매수","국가,지자체_24M순매수",기타법인_6M순매수,기타법인_12M순매수,기타법인_18M순매수,기타법인_24M순매수
A088280,쏘닉스,2023-11-07,7500.0,9430,3580.0,2595.0,2430.0,2060.0,25.7,-52.3,-65.4,-67.6,-72.5,-62.0,-72.5,-74.2,-78.2,-234.2,-239.1,-239.4,-241.8,-62.8,-64.8,-70.3,-70.3,362.5,385.4,383.7,386.0,-53.2,-56.0,-55.9,-56.6,-0.8,-0.8,-0.8,-0.8,-16.4,-17.6,-18.1,-19.3,-135.6,-136.4,-136.3,-136.9,-1.7,-1.7,-1.7,-1.7,-0.6,-0.6,-0.6,-0.6,-25.8,-25.9,-25.9,-25.9,0.0,0.0,0.0,0.0,-65.5,-81.4,-73.9,-73.8
A105760,포스뱅크,2024-01-29,18000.0,23350,8740.0,5570.0,6630.0,5380.0,29.7,-51.4,-69.1,-63.2,-70.1,-62.6,-76.1,-71.6,-77.0,-575.0,-593.8,-593.9,-593.8,28.7,26.2,32.1,10.3,836.0,855.9,854.8,877.2,-64.6,-82.3,-82.4,-82.6,-2.5,-2.5,-2.5,-2.5,-68.3,-68.3,-68.3,-68.7,-353.3,-354.7,-354.5,-353.9,-2.7,-2.7,-2.7,-2.7,-0.2,-0.2,-0.2,-0.2,-83.3,-83.0,-83.2,-83.2,0.0,0.0,0.0,0.0,-289.8,-288.2,-293.0,-293.7
A107600,새빗켐,2022-08-04,35000.0,72500,98000.0,88300.0,56300.0,23400.0,107.1,180.0,152.3,60.9,-33.1,35.2,21.8,-22.3,-67.7,-577.6,-939.5,-959.6,-970.4,-86.6,-145.2,-156.7,-150.8,947.7,1367.5,1397.1,1403.5,-174.8,-357.3,-345.3,-344.0,-6.4,-12.2,-12.4,-12.4,-22.9,-45.2,-75.1,-92.3,-358.4,-506.7,-508.6,-503.5,-0.2,-0.2,-0.2,-0.2,-0.5,-0.4,-0.4,-0.4,-14.5,-17.5,-17.6,-17.6,0.0,0.0,0.0,0.0,-283.4,-282.7,-280.7,-282.3
A112290,와이씨켐,2022-07-14,18600.0,16450,11850.0,13740.0,10710.0,21500.0,-11.6,-36.3,-26.1,-42.4,15.6,-28.0,-16.5,-34.9,30.7,-276.9,-313.2,-324.5,-443.5,-1.0,5.6,14.2,-27.4,405.3,474.8,477.0,682.2,-36.4,-51.0,-60.8,-63.7,-0.3,-0.6,-0.6,-0.8,-2.6,12.9,12.8,-2.7,-117.9,-145.8,-147.2,-159.3,-0.8,-0.8,-0.8,2.2,-0.3,3.2,3.2,6.1,-118.7,-131.1,-131.1,-225.3,0.0,0.0,0.0,0.0,-127.5,-167.3,-166.6,-211.3
A129920,대성하이텍,2022-08-22,9000.0,14600,9040.0,7790.0,6360.0,4280.0,62.2,0.4,-13.4,-29.3,-52.4,-38.1,-46.6,-56.4,-70.7,-437.1,-472.1,-476.6,-484.1,-58.6,-62.9,-64.8,-71.2,626.9,673.8,680.8,695.9,-32.3,-26.9,-32.2,-32.3,-0.7,-0.6,-0.6,-0.6,-14.5,-31.3,-36.0,-36.9,-156.9,-164.6,-159.1,-165.6,-0.2,-0.2,-0.2,-0.2,6.2,-0.8,-0.8,-0.8,-238.9,-247.7,-247.7,-247.7,0.0,0.0,0.0,0.0,-131.1,-138.8,-139.3,-140.6
A136410,아셈스,2022-02-07,8000.0,13500,15950.0,12900.0,8210.0,6820.0,68.8,99.4,61.3,2.6,-14.7,18.1,-4.4,-39.2,-49.5,-148.2,-145.9,-185.7,-205.8,-22.6,-17.5,-15.2,-19.4,267.5,258.6,297.4,323.9,-2.2,-17.9,-42.1,-29.5,16.4,36.9,32.6,28.8,-5.0,24.5,23.8,10.6,-152.7,-169.4,-167.3,-176.6,-52.0,-51.8,-51.8,-51.8,51.0,35.5,23.1,16.8,-3.8,-3.7,-4.0,-4.2,0.0,0.0,0.0,0.0,-96.7,-95.2,-96.4,-98.7
A137080,나래나노텍,2022-02-08,17500.0,13900,9370.0,8420.0,7620.0,6170.0,-20.6,-46.5,-51.9,-56.5,-64.7,-32.6,-39.4,-45.2,-55.6,-182.0,-187.3,-192.0,-192.2,-90.7,-96.7,-98.5,-106.1,270.9,283.2,294.1,301.8,-40.3,-40.1,-42.1,-42.2,-7.9,-7.9,-7.9,-7.9,-59.6,-60.1,-62.1,-62.1,-58.7,-63.3,-63.8,-63.8,-3.2,-3.2,-3.2,-3.2,-7.3,-7.3,-7.3,-7.3,-5.0,-5.4,-5.6,-5.6,0.0,0.0,0.0,0.0,1.8,0.8,-3.6,-3.5
A146320,비씨엔씨,2022-03-03,13000.0,22600,17300.0,17600.0,17740.0,24450.0,73.8,33.1,35.4,36.5,88.1,-23.5,-22.1,-21.5,8.2,-108.8,-70.6,-139.1,-80.2,-38.2,-31.9,-18.7,-2.1,558.0,510.7,561.1,479.4,-40.0,-45.6,-48.5,-14.7,4.0,6.1,2.8,3.9,-21.2,-0.7,9.9,103.6,-105.2,-57.2,-113.1,-174.4,0.4,-0.6,-0.6,-0.5,68.3,43.0,26.0,17.5,-15.2,-15.6,-15.6,-15.5,0.0,0.0,0.0,0.0,-411.0,-408.2,-403.3,-397.1
A148930,에이치와이티씨,2022-08-09,15000.0,15850,10190.0,9110.0,6920.0,4735.0,5.7,-32.1,-39.3,-53.9,-68.4,-35.7,-42.5,-56.3,-70.1,-273.8,-291.6,-274.2,-262.6,-0.9,6.2,4.3,-0.7,304.5,377.4,383.8,425.3,-54.1,-60.4,-42.0,-30.3,-0.6,-0.6,-0.6,-0.6,-40.3,-40.6,-40.6,-40.6,-139.5,-150.2,-150.3,-150.3,-1.5,-1.5,-2.5,-2.5,-6.5,-6.5,-6.5,-6.5,-31.3,-31.7,-31.7,-31.7,0.0,0.0,0.0,0.0,-29.8,-92.1,-113.9,-162.0
A168360,펨트론,2022-11-24,4000.0,4605,6590.0,7875.0,7170.0,7600.0,15.1,64.8,96.9,79.2,90.0,43.1,71.0,55.7,65.0,3.6,-49.7,-123.5,-153.8,-7.4,55.6,12.3,9.9,130.9,138.2,260.0,294.9,-9.5,-70.6,-40.0,-21.7,7.6,11.8,0.1,-0.6,10.0,23.0,-39.2,-71.0,7.6,-13.7,-45.6,-57.3,0.0,0.4,-1.8,-2.0,8.9,19.8,23.1,19.1,-21.1,-20.5,-20.1,-20.2,0.0,0.0,0.0,0.0,-127.0,-144.1,-148.8,-151.0
