month,count,기관_buy,기관_sell,외국인총합계_buy,외국인총합계_sell,개인_buy,개인_sell,기타법인_buy,기타법인_sell,사모펀드_buy,사모펀드_sell,기타금융기관_buy,기타금융기관_sell
1,403,96.79,349.31,564.16,611.42,13804.7,13397.9,67.69,174.73,29.97,165.43,0.64,50.71
2,399,79.65,143.58,399.23,391.23,3716.26,3604.18,22.44,78.58,24.03,48.49,0.31,27.45
3,396,60.61,70.24,329.6,326.46,2593.26,2568.2,16.97,35.53,14.23,18.37,0.25,10.68
4,395,84.49,134.86,389.9,386.5,2567.33,2494.55,19.41,45.23,20.07,51.31,0.2,11.77
5,387,55.61,68.66,326.96,325.09,2099.01,2076.85,15.35,26.33,12.92,19.15,0.22,4.43
6,387,46.84,57.64,261.06,261.92,1779.56,1761.4,13.03,19.53,10.91,15.41,0.2,3.88
7,386,49.54,76.8,266.38,254.59,1471.55,1445.45,12.66,23.29,11.39,26.99,0.12,2.87
8,375,42.56,54.38,227.05,230.83,1427.84,1405.83,11.2,17.61,11.0,16.13,0.13,1.88
9,364,43.03,49.9,220.19,221.24,1325.72,1312.9,10.93,15.83,9.65,12.42,0.15,2.71
10,364,44.98,47.52,204.39,201.7,1274.34,1264.05,9.89,20.34,11.39,13.65,0.18,2.12
11,363,53.81,59.01,241.03,239.71,1530.31,1522.66,11.2,14.96,9.53,11.83,0.21,1.72
12,357,45.91,51.17,260.03,258.73,1394.73,1379.13,9.99,21.63,9.03,11.2,0.12,2.08
13,349,42.46,50.97,228.06,229.33,1246.55,1229.12,9.24,16.88,10.48,11.66,0.26,2.23
14,346,58.19,51.95,246.26,248.71,1213.07,1214.81,11.88,13.93,10.5,9.58,0.18,2.24
15,338,51.95,51.68,248.19,237.03,1174.93,1180.63,10.26,15.99,10.91,12.87,0.16,0.91
16,336,39.15,38.87,194.08,194.59,876.02,868.47,7.75,15.07,8.0,10.32,0.2,0.48
17,330,44.24,42.04,207.39,205.23,913.06,911.76,9.78,15.44,11.26,10.23,0.1,1.84
18,320,34.2,40.24,187.21,187.64,881.68,865.77,8.66,18.09,8.31,9.69,0.14,1.4
19,315,43.83,43.88,217.55,215.83,1000.33,999.72,10.21,12.49,9.88,10.53,0.2,0.6
20,310,39.24,42.47,205.91,215.39,941.01,926.44,7.71,9.58,7.98,9.99,0.11,0.7
21,299,45.13,48.88,191.02,187.83,840.13,838.23,8.54,9.88,8.22,10.47,0.15,3.98
22,288,35.9,39.62,183.2,188.96,868.12,857.71,8.24,9.17,7.03,10.08,0.07,0.97
23,286,41.59,38.08,189.16,189.92,844.97,844.96,8.39,11.16,7.75,8.47,0.14,1.16
24,277,36.8,42.63,178.04,173.67,922.26,918.46,8.64,10.98,7.5,8.2,0.1,2.78
