day,count,ret_ipo_mean,ret_ipo_median,ret_close_mean,ret_close_median,기관,외국인총합계,개인,금융투자,보험,투신,사모펀드,은행,연기금,기타금융기관,국가_지자체,기타법인
0,342,60.0,37.8,0.0,0.0,-219.69,-35.58,323.76,-30.53,-0.87,-30.53,-115.29,-2.69,-1.91,-37.87,0.0,-68.49
1,342,58.59,36.16,-0.8,-2.71,-228.53,-37.63,338.75,-31.85,-0.81,-31.45,-120.04,-2.77,-1.61,-39.99,0.0,-72.59
2,342,57.33,30.96,-1.57,-5.07,-232.75,-37.36,347.68,-33.07,-0.96,-31.48,-121.36,-3.57,-1.44,-40.86,0.0,-77.58
3,342,55.48,26.89,-2.55,-6.55,-233.76,-37.56,353.38,-33.39,-0.85,-30.41,-122.12,-4.45,-0.99,-41.54,0.0,-82.06
4,342,55.12,30.5,-2.84,-8.03,-235.32,-34.68,354.55,-33.73,-0.77,-30.31,-122.71,-4.97,-0.65,-42.19,0.0,-84.54
5,341,53.76,32.5,-3.11,-9.45,-235.94,-34.64,357.29,-33.97,-0.71,-29.73,-122.68,-5.59,-0.51,-42.74,0.0,-86.71
6,341,51.29,29.52,-4.27,-10.07,-236.36,-35.44,359.15,-34.03,-0.59,-29.5,-123.18,-5.78,-0.11,-43.18,0.0,-87.35
7,341,50.2,28.5,-4.84,-9.78,-235.88,-35.88,359.48,-34.17,-0.56,-28.95,-122.93,-5.82,-0.08,-43.37,0.0,-87.73
8,341,50.68,25.75,-4.68,-10.55,-236.72,-36.06,361.4,-34.23,-0.56,-28.45,-123.24,-6.32,0.17,-44.09,0.0,-88.61
9,341,49.43,23.73,-5.11,-11.71,-238.31,-36.12,363.91,-34.44,-0.55,-28.58,-124.28,-6.42,0.48,-44.52,0.0,-89.48
10,341,48.22,21.32,-5.62,-12.63,-239.99,-36.67,366.83,-34.44,-0.52,-28.31,-126.0,-6.5,0.79,-45.01,0.0,-90.16
11,341,45.41,17.12,-6.94,-12.79,-243.47,-38.4,372.54,-34.83,-0.42,-28.34,-128.83,-6.51,0.96,-45.5,0.0,-90.67
12,341,44.37,16.5,-7.62,-14.14,-244.11,-39.28,374.57,-34.65,-0.42,-28.1,-129.48,-6.54,1.12,-46.03,0.0,-91.18
13,341,43.86,17.62,-8.14,-14.39,-244.69,-39.12,375.44,-34.8,-0.35,-27.88,-130.01,-6.57,1.21,-46.28,0.0,-91.63
14,341,43.5,15.67,-8.37,-15.46,-244.05,-38.96,374.65,-34.88,-0.35,-27.04,-130.23,-6.58,1.44,-46.41,0.0,-91.63
15,341,42.89,16.22,-8.84,-15.52,-244.21,-39.21,375.45,-34.89,-0.27,-26.87,-130.43,-6.6,1.65,-46.78,0.0,-92.03
