코드,종목명,상장일,수정공모가,상장일종가,6M종가,12M종가,18M종가,24M종가,상장일수익률_수정공모가(%),6M수익률_수정공모가(%),12M수익률_수정공모가(%),18M수익률_수정공모가(%),24M수익률_수정공모가(%),6M수익률_종가(%),12M수익률_종가(%),18M수익률_종가(%),24M수익률_종가(%),최종일,최종일종가,최종일수익률_수정공모가(%),최종일수익률_종가(%),기관_6M순매수,기관_12M순매수,기관_18M순매수,기관_24M순매수,외국인총합계_6M순매수,외국인총합계_12M순매수,외국인총합계_18M순매수,외국인총합계_24M순매수,개인_6M순매수,개인_12M순매수,개인_18M순매수,개인_24M순매수,금융투자_6M순매수,금융투자_12M순매수,금융투자_18M순매수,금융투자_24M순매수,보험_6M순매수,보험_12M순매수,보험_18M순매수,보험_24M순매수,투신_6M순매수,투신_12M순매수,투신_18M순매수,투신_24M순매수,사모펀드_6M순매수,사모펀드_12M순매수,사모펀드_18M순매수,사모펀드_24M순매수,은행_6M순매수,은행_12M순매수,은행_18M순매수,은행_24M순매수,연기금_6M순매수,연기금_12M순매수,연기금_18M순매수,연기금_24M순매수,기타금융기관_6M순매수,기타금융기관_12M순매수,기타금융기관_18M순매수,기타금융기관_24M순매수,"국가,지자체_6M순매수","국가,지자체_12M순매수","국가,지자체_18M순매수","국가,지자체_24M순매수",기타법인_6M순매수,기타법인_12M순매수,기타법인_18M순매수,기타법인_24M순매수
A236810,엔비티,2021-01-21,9500.0,18250.0,13300.0,12500.0,7970.0,,92.1,40.0,31.6,-16.1,,-27.1,-31.5,-56.3,,2023-01-20,6500.0,-31.6,-64.4,-569.5,-703.2,-661.4,,-61.1,-60.0,-60.6,,1028.3,1176.4,1113.2,,-121.7,-132.6,-45.0,,29.7,-0.7,-0.7,,50.3,9.7,55.5,,-254.3,-291.9,-407.7,,-25.2,-24.4,-24.4,,16.9,28.4,13.2,,-265.1,-291.7,-252.3,,0.0,0.0,0.0,,-397.7,-413.3,-391.2,
A086710,선진뷰티사이언스,2021-01-27,5764.0,14986.0,9473.0,6215.0,6170.0,6950.0,160.0,64.3,7.8,7.0,20.6,-36.8,-58.5,-58.8,-53.6,2023-01-27,6950.0,20.6,-53.6,-186.5,-194.0,-179.1,-173.5,-105.8,-102.9,-100.8,-93.5,297.7,302.5,284.8,261.4,-30.4,-30.6,-31.9,-30.5,0.0,0.0,0.7,0.7,-14.5,-18.1,-6.2,-2.1,-140.3,-142.6,-140.9,-140.7,-0.2,-0.2,-0.2,-0.2,1.8,0.3,2.2,2.2,-2.9,-2.9,-2.9,-2.9,0.0,0.0,0.0,0.0,-5.4,-5.6,-4.9,5.5
A348030,모비릭스,2021-01-28,14000.0,36400.0,22700.0,17650.0,19150.0,,160.0,62.1,26.1,36.8,,-37.6,-51.5,-47.4,,2023-01-27,12180.0,-13.0,-66.5,-342.4,-335.5,-341.7,,-42.0,-27.2,-35.5,,559.0,543.8,609.7,,-70.5,-70.0,-73.3,,-0.4,0.4,-0.3,,-35.6,-31.7,-30.9,,-228.5,-227.0,-230.0,,-0.4,-0.4,-0.4,,-0.6,-0.3,-0.3,,-6.5,-6.4,-6.4,,0.0,0.0,0.0,,-174.5,-181.0,-232.5,
A352700,씨앤투스,2021-01-28,10863.0,9743.0,6875.0,5980.0,5700.0,,-10.3,-36.7,-45.0,-47.5,,-29.4,-38.6,-41.5,,2023-01-27,4335.0,-60.1,-55.5,-254.7,-494.2,-458.4,,30.9,84.5,5.0,,687.6,861.5,903.2,,-30.5,-34.6,-29.5,,2.5,0.4,0.4,,-57.6,-66.2,-57.8,,-167.0,-216.8,-194.5,,-0.4,-0.4,-0.4,,6.5,-0.7,-0.7,,-8.2,-175.9,-175.9,,0.0,0.0,0.0,,-463.8,-451.8,-449.8,
A163730,핑거,2021-01-29,16000.0,29100.0,23650.0,19700.0,12200.0,,81.9,47.8,23.1,-23.8,,-18.7,-32.3,-58.1,,2023-01-27,12700.0,-20.6,-56.4,-532.4,-526.2,-527.2,,1.8,6.4,9.0,,795.9,886.2,885.4,,-65.3,-67.3,-66.6,,-2.5,-2.5,-2.5,,-44.5,-43.9,-42.8,,-174.6,-166.9,-169.7,,-0.8,-0.8,-0.8,,-4.0,-4.0,-4.0,,-240.8,-240.8,-240.8,,0.0,0.0,0.0,,-265.3,-366.4,-367.2,
A277810,레인보우로보틱스,2021-02-03,10000.0,26000.0,22000.0,22050.0,28050.0,79200.0,160.0,120.0,120.5,180.5,692.0,-15.4,-15.2,7.9,204.6,2023-02-03,79200.0,692.0,204.6,-491.0,-518.6,-431.0,-1066.6,19.8,14.5,83.0,82.7,921.1,951.1,795.7,1515.0,-105.7,-104.0,-97.7,-196.4,1.0,5.6,17.9,-12.5,-40.8,-58.6,-14.6,-232.4,-274.3,-290.9,-285.0,-386.7,-0.4,-0.7,-0.7,-14.8,3.1,3.8,33.9,-25.0,-73.8,-73.9,-84.8,-198.7,0.0,0.0,0.0,0.0,-449.9,-447.0,-447.7,-531.1
A321820,아티스트컴퍼니,2021-02-03,16000.0,20000.0,24700.0,15750.0,7720.0,7370.0,25.0,54.4,-1.6,-51.8,-53.9,23.5,-21.3,-61.4,-63.1,2023-02-03,7370.0,-53.9,-63.1,-186.8,-152.6,-146.0,-151.7,-12.1,-15.4,-10.2,-12.6,406.1,389.3,382.2,390.3,-77.2,-73.6,-68.0,-72.9,8.6,16.7,18.8,19.3,46.2,72.4,94.9,97.9,-214.3,-220.2,-224.2,-228.5,0.9,0.9,0.9,0.9,61.1,63.0,43.5,43.5,-12.2,-11.8,-12.0,-12.0,0.0,0.0,0.0,0.0,-207.2,-221.2,-226.0,-226.0
A262840,아이퀘스트,2021-02-05,10275.0,18682.0,12236.0,9079.0,9014.0,,81.8,19.1,-11.6,-12.3,,-34.5,-51.4,-51.8,,2023-02-03,7267.0,-29.3,-61.1,-276.9,-307.1,-329.9,,-45.6,-36.2,-44.2,,358.0,405.6,435.9,,-33.6,-49.6,-49.7,,-0.8,-0.9,-0.9,,-36.9,-36.6,-39.4,,-101.3,-115.8,-125.0,,-0.4,-0.4,-0.4,,-0.6,-0.6,-0.6,,-103.2,-103.2,-113.8,,0.0,0.0,0.0,,-35.5,-62.3,-61.9,
A322310,오로스테크놀로지,2021-02-24,21000.0,54600.0,29700.0,21250.0,13850.0,18900.0,160.0,41.4,1.2,-34.0,-10.0,-45.6,-61.1,-74.6,-65.4,2023-02-24,18900.0,-10.0,-65.4,-562.4,-528.3,-543.1,-565.6,16.6,66.3,52.5,21.4,709.5,630.6,654.0,731.2,-159.6,-180.0,-163.6,-166.8,0.8,1.7,1.4,1.4,-69.0,-32.3,-43.2,-45.1,-233.5,-218.7,-231.4,-237.9,-17.4,-17.5,-18.6,-18.6,2.5,16.8,11.0,11.0,-86.2,-98.3,-98.7,-109.7,0.0,0.0,0.0,0.0,-163.6,-168.6,-163.4,-187.0
A340930,유일에너테크,2021-02-25,3602.0,7766.0,3939.0,4502.0,4119.0,,115.6,9.4,25.0,14.4,,-49.3,-42.0,-47.0,,2023-02-24,3748.0,4.1,-51.7,-491.7,-673.5,-674.9,,0.5,11.2,9.7,,558.7,723.4,708.8,,-102.4,-135.4,-137.9,,-2.1,-0.5,-0.5,,-33.7,-70.2,-78.8,,-316.0,-373.1,-362.7,,-0.8,2.4,1.5,,-1.1,-1.1,-1.1,,-35.6,-95.5,-95.5,,0.0,0.0,0.0,,-67.4,-61.1,-43.6,
