month,count,기관_buy,기관_sell,외국인총합계_buy,외국인총합계_sell,개인_buy,개인_sell,기타법인_buy,기타법인_sell,사모펀드_buy,사모펀드_sell,기타금융기관_buy,기타금융기관_sell
1,347,95.87,343.83,638.87,683.19,13919.47,13524.26,72.77,175.68,29.23,158.67,0.6,53.25
2,343,82.57,138.33,445.16,437.43,3328.98,3223.9,22.68,79.74,25.55,44.38,0.31,27.44
3,340,64.41,70.45,364.57,361.61,2395.0,2373.24,16.89,35.57,15.22,18.09,0.22,10.11
4,339,89.22,138.75,434.28,429.12,2496.74,2424.63,20.46,48.19,21.64,53.32,0.18,12.34
5,331,59.87,72.08,359.26,358.9,1980.95,1957.27,15.95,27.77,13.79,19.8,0.2,4.29
6,331,48.75,59.91,278.81,281.43,1475.49,1454.95,12.88,19.63,11.71,16.71,0.2,2.88
7,330,52.36,82.22,285.57,275.57,1415.76,1385.26,13.19,23.83,11.54,28.87,0.12,3.18
8,319,44.47,57.68,247.92,252.61,1432.54,1408.56,11.7,17.77,11.43,16.79,0.14,1.95
9,308,46.2,54.14,241.07,239.78,1363.15,1350.92,11.87,17.44,10.39,13.23,0.14,3.15
10,308,41.82,47.16,213.39,211.81,1190.88,1177.85,9.42,18.68,10.34,13.59,0.18,2.37
11,307,51.29,56.19,238.93,238.32,1359.54,1350.82,11.02,15.45,8.98,11.33,0.12,1.79
12,301,43.99,48.83,265.02,266.42,1375.95,1364.2,10.39,15.88,9.18,11.17,0.12,2.42
13,293,44.74,53.04,242.92,245.25,1252.37,1232.99,9.73,18.48,11.36,12.51,0.28,2.35
14,290,47.91,51.15,254.01,255.36,1176.63,1170.19,10.94,12.78,9.16,8.98,0.08,2.63
15,282,39.97,38.1,224.55,223.69,1084.98,1081.83,10.01,15.88,9.93,11.22,0.1,0.91
16,280,36.72,32.85,209.57,206.66,907.24,905.6,8.07,16.49,7.99,9.69,0.17,0.52
17,275,41.77,39.65,226.2,220.22,971.93,973.86,10.74,16.91,11.52,10.22,0.11,2.12
18,265,33.48,40.41,202.32,202.62,924.58,906.3,9.29,20.34,8.29,10.5,0.14,1.43
19,260,41.0,42.45,238.38,235.96,1070.1,1068.01,10.57,13.63,9.83,10.28,0.12,0.62
20,255,42.23,39.4,231.98,242.94,1039.53,1028.89,8.45,10.95,9.08,10.27,0.14,0.81
21,244,48.21,53.92,218.03,214.53,951.51,947.61,9.73,11.4,8.44,11.64,0.13,4.85
22,233,35.94,36.6,198.45,208.66,914.61,902.55,8.6,9.79,6.45,8.88,0.07,1.19
23,231,43.73,40.2,197.36,196.65,807.57,808.37,9.02,12.47,8.27,8.9,0.14,1.44
24,222,40.15,47.49,189.49,185.55,901.55,895.19,9.79,12.74,8.36,9.0,0.1,3.44
